Data dimension             = 20
Reduced dimension          = 5
Axes                       = 16 17 18 19 20
Number of training samples = 40
Window length              = 200
==========================================================
Relative error tolerance: 0.200
 
Currently: threshold = 15.0000 with 96 simulations
Result:    ARL       = 200, 0.0 min used.
Currently: threshold = 15.9900 with 96 simulations
Result:    ARL       = 200, 0.1 min used.
Currently: threshold = 17.0453 with 96 simulations
Result:    ARL       = 200, 0.1 min used.
Currently: threshold = 18.1703 with 96 simulations
Result:    ARL       = 200, 0.1 min used.
Currently: threshold = 19.3696 with 96 simulations
Result:    ARL       = 200, 0.2 min used.
Currently: threshold = 20.6480 with 96 simulations
Result:    ARL       = 200, 0.2 min used.
Currently: threshold = 22.0107 with 96 simulations
Result:    ARL       = 200, 0.3 min used.
Currently: threshold = 23.4634 with 96 simulations
Result:    ARL       = 200, 0.3 min used.
Currently: threshold = 25.0120 with 96 simulations
Result:    ARL       = 200, 0.3 min used.
Currently: threshold = 26.6628 with 96 simulations
Result:    ARL       = 200, 0.4 min used.
Currently: threshold = 28.4226 with 96 simulations
Result:    ARL       = 200, 0.4 min used.
Currently: threshold = 30.2985 with 96 simulations
Result:    ARL       = 200, 0.4 min used.
Currently: threshold = 32.2982 with 96 simulations
Result:    ARL       = 202, 0.5 min used.
Currently: threshold = 34.4296 with 96 simulations
Result:    ARL       = 200, 0.5 min used.
Currently: threshold = 36.7020 with 96 simulations
Result:    ARL       = 202, 0.5 min used.
Currently: threshold = 39.1241 with 96 simulations
Result:    ARL       = 221, 0.6 min used.
Currently: threshold = 41.7035 with 96 simulations
Result:    ARL       = 221, 0.6 min used.
Currently: threshold = 44.4530 with 96 simulations
Result:    ARL       = 231, 0.7 min used.
Currently: threshold = 47.3823 with 96 simulations
Result:    ARL       = 263, 0.7 min used.
Currently: threshold = 50.4996 with 96 simulations
Result:    ARL       = 291, 0.8 min used.
Currently: threshold = 53.8173 with 96 simulations
Result:    ARL       = 282, 0.8 min used.
Currently: threshold = 57.3545 with 96 simulations
Result:    ARL       = 392, 0.9 min used.
Currently: threshold = 61.1032 with 96 simulations
Result:    ARL       = 533, 0.9 min used.
Currently: threshold = 65.0682 with 96 simulations
Result:    ARL       = 662, 1.0 min used.
Currently: threshold = 69.2625 with 96 simulations
Result:    ARL       = 1067, 1.1 min used.
Currently: threshold = 73.6336 with 96 simulations
Result:    ARL       = 1280, 1.1 min used.
Currently: threshold = 78.2284 with 96 simulations
Result:    ARL       = 1920, 1.2 min used.
Currently: threshold = 82.9429 with 96 simulations
Result:    ARL       = 19200, 1.3 min used.
==========================================================
Relative error tolerance: 0.100
 
Currently: threshold = 82.9429 with 384 simulations
Result:    ARL       = 9600, 1.4 min used.
Currently: threshold = 84.3806 with 384 simulations
Result:    ARL       = 5486, 1.6 min used.
Currently: threshold = 86.4218 with 384 simulations
Result:    ARL       = 12800, 1.7 min used.
Currently: threshold = 87.4588 with 384 simulations
Result:    ARL       = 38400, 1.9 min used.
Currently: threshold = 84.7768 with 384 simulations
Result:    ARL       = 9600, 2.1 min used.
Currently: threshold = 86.2462 with 384 simulations
Result:    ARL       = 6982, 2.2 min used.
Currently: threshold = 88.1175 with 384 simulations
Result:    ARL       = 12800, 2.4 min used.
Currently: threshold = 89.1749 with 384 simulations
Result:    ARL       = 8533, 2.6 min used.
Currently: threshold = 90.8792 with 384 simulations
Result:    ARL       = 15360, 2.7 min used.
Currently: threshold = 91.5820 with 384 simulations
Result:    ARL       = 15360, 2.9 min used.
Currently: threshold = 92.2902 with 384 simulations
Result:    ARL       = 19200, 3.0 min used.
==========================================================
Relative error tolerance: 0.050
 
Currently: threshold = 92.2902 with 1537 simulations
Result:    ARL       = 25617, 3.6 min used.
Currently: threshold = 91.8582 with 1537 simulations
Result:    ARL       = 15370, 4.1 min used.
Currently: threshold = 92.2126 with 1537 simulations
Result:    ARL       = 16179, 4.7 min used.
Currently: threshold = 92.5062 with 1537 simulations
Result:    ARL       = 19212, 5.2 min used.
==========================================================
Relative error tolerance: 0.025
 
Currently: threshold = 92.5062 with 6146 simulations
Result:    ARL       = 24102, 7.3 min used.
Currently: threshold = 92.3481 with 6146 simulations
Result:    ARL       = 21950, 9.4 min used.
Currently: threshold = 92.2731 with 6146 simulations
Result:    ARL       = 23192, 11.5 min used.
Currently: threshold = 92.1504 with 6146 simulations
Result:    ARL       = 19511, 13.6 min used.
Currently: threshold = 92.1691 with 6146 simulations
Result:    ARL       = 17072, 15.7 min used.
Currently: threshold = 92.2816 with 6146 simulations
Result:    ARL       = 21950, 17.8 min used.
Currently: threshold = 92.2066 with 6146 simulations
Result:    ARL       = 25086, 19.9 min used.
Currently: threshold = 92.0112 with 6146 simulations
Result:    ARL       = 26153, 21.9 min used.
Currently: threshold = 91.7753 with 6146 simulations
Result:    ARL       = 26722, 24.0 min used.
Currently: threshold = 91.5183 with 6146 simulations
Result:    ARL       = 17313, 26.1 min used.
Currently: threshold = 91.6207 with 6146 simulations
Result:    ARL       = 20834, 28.2 min used.
Currently: threshold = 91.5889 with 6146 simulations
Result:    ARL       = 21193, 30.3 min used.
Currently: threshold = 91.5434 with 6146 simulations
Result:    ARL       = 17313, 32.4 min used.
Currently: threshold = 91.6459 with 6146 simulations
Result:    ARL       = 24584, 34.5 min used.
Currently: threshold = 91.4708 with 6146 simulations
